vote,pol_int,lib_cons3pt,lib_cons7pt,soc_trust,protest,petition,contrib,post,congress,num_contacts,talk_pol,talk_pol_sim,pol_discuss,county,duty_choice,soc_media_comfort,county_fips,county_name,state,dem_percent_16,gop_percent_16,dem_pct_margin,dem_dummy,phi_80_96,phi_00_16,pop,workers_outside_home,median_income,gini,avg_commute
Yes,Somewhat interested,Liberal,Liberal,You can't be too careful,Yes,Yes,Yes,Yes,No,5,5,3,Most of the time,"rowan, nc",Mainly a duty,Somewhat comfortable,37159,rowan,NC,30.1,66.5,-36.4,0,26.8,30.38,138361,53513,43069,0.4403,23.92231794
Yes,Very interested,Liberal,Liberal,You can't be too careful,Yes,Yes,Yes,Yes,Yes,5,5,4,Most of the time,"harnett, nc",Mainly a duty,Very comfortable,37085,harnett,NC,36.3,59.9,-23.6,0,13.04,22.24,124320,48383,46353,0.4269,28.71876486
Yes,Very interested,Liberal,Extremely liberal,Most people can be trusted,Yes,Yes,No,No,No,5,4,4,Occasionally,"mecklenburg, nc",Mainly a choice,Very comfortable,37119,mecklenburg,NC,62.3,32.9,29.4,1,9.92,16.54,990288,461664,56854,0.4939,25.2675214
I wasn't old enough (or am not a citizen),Somewhat interested,Moderate,Slightly conservative,You can't be too careful,No,Yes,Yes,Yes,No,4,4,4,Occasionally,"mecklenburg, nc",Mainly a duty,Somewhat uncomfortable,37119,mecklenburg,NC,62.3,32.9,29.4,1,9.92,16.54,990288,461664,56854,0.4939,25.2675214
I wasn't old enough (or am not a citizen),Slightly interested,Conservative,Conservative,You can't be too careful,No,Yes,No,No,No,5,4,4,Occasionally,"mecklenburg, nc",Mainly a choice,Very comfortable,37119,mecklenburg,NC,62.3,32.9,29.4,1,9.92,16.54,990288,461664,56854,0.4939,25.2675214
Yes,Very interested,Liberal,Liberal,You can't be too careful,Yes,Yes,Yes,Yes,Yes,5,5,4,Most of the time,"henderson, nc",Mainly a duty,Somewhat comfortable,37089,henderson,NC,34.1,61.6,-27.5,0,30.64,28,109719,42746,46448,0.437,21.59184485
I wasn't old enough (or am not a citizen),Very interested,Conservative,Slightly conservative,Most people can be trusted,No,No,No,Yes,No,5,5,2,Occasionally,"iredell, nc",Mainly a choice,Somewhat comfortable,37097,iredell,NC,30,66.3,-36.3,0,24.46,31.8,165066,71201,52306,0.4706,24.6881364
I wasn't old enough (or am not a citizen),Somewhat interested,Conservative,Slightly conservative,Most people can be trusted,No,No,No,No,No,3,1,1,Occasionally,"forsyth, nc",Mainly a choice,Somewhat uncomfortable,37067,forsyth,NC,53,42.6,10.4,1,12.08,9.86,361684,152608,45471,0.4872,21.0878853
I wasn't old enough (or am not a citizen),Somewhat interested,Moderate,Slightly liberal,You can't be too careful,No,No,No,No,No,5,3,3,Occasionally,"forsyth, nc",Mainly a choice,Somewhat uncomfortable,37067,forsyth,NC,53,42.6,10.4,1,12.08,9.86,361684,152608,45471,0.4872,21.0878853
I wasn't old enough (or am not a citizen),Somewhat interested,Conservative,Slightly conservative,Most people can be trusted,No,No,No,No,No,3,2,2,Occasionally,"craven, nc",Mainly a choice,Somewhat uncomfortable,37049,craven,NC,37.5,59,-21.5,0,15.06,19.92,104450,44576,47985,0.4252,20.77889447
No,Somewhat interested,Liberal,Liberal,Most people can be trusted,No,Yes,No,Yes,No,4,4,3,Occasionally,"northampton, pa",Mainly a choice,Somewhat comfortable,42095,northampton,PA,45.8,49.6,-3.8,0,6.86,5.44,299616,136823,60972,0.432,27.65675362
Yes,Very interested,Liberal,Liberal,Most people can be trusted,Yes,Yes,Yes,Yes,No,5,5,3,Occasionally,"alamance, nc",Mainly a duty,Somewhat comfortable,37001,alamance,NC,41.9,54.6,-12.7,0,21.52,16.82,155258,67580,41814,0.4608,23.66439775
Yes,Very interested,Liberal,Liberal,Most people can be trusted,Yes,Yes,No,No,Yes,4,4,4,Almost all the time,"alamance, nc",Mainly a duty,Very uncomfortable,37001,alamance,NC,41.9,54.6,-12.7,0,21.52,16.82,155258,67580,41814,0.4608,23.66439775
Yes,Very interested,Liberal,Extremely liberal,Most people can be trusted,Yes,Yes,No,Yes,Yes,5,5,4,Almost all the time,"wake, nc",Mainly a choice,Very comfortable,37183,wake,NC,57.4,37.2,20.2,1,8.32,11.04,976019,455690,67309,0.4444,24.10351335
Yes,Very interested,Liberal,Extremely liberal,Most people can be trusted,No,Yes,Yes,Yes,No,5,5,3,Most of the time,"wake, nc",Mainly a choice,Somewhat comfortable,37183,wake,NC,57.4,37.2,20.2,1,8.32,11.04,976019,455690,67309,0.4444,24.10351335
I wasn't old enough (or am not a citizen),Somewhat interested,Conservative,Moderate,You can't be too careful,No,No,No,No,No,4,3,3,Almost never,"wake, nc",Mainly a choice,Very uncomfortable,37183,wake,NC,57.4,37.2,20.2,1,8.32,11.04,976019,455690,67309,0.4444,24.10351335
Yes,Very interested,Liberal,Slightly liberal,You can't be too careful,No,Yes,No,Yes,No,4,4,4,Most of the time,"guilford, nc",Mainly a duty,Somewhat comfortable,37081,guilford,NC,58,38.1,19.9,1,9.96,11.56,506763,220368,45651,0.4831,21.31548138
I wasn't old enough (or am not a citizen),Very interested,Liberal,Liberal,You can't be too careful,No,No,Yes,No,No,4,4,3,Occasionally,"guilford, nc",Mainly a duty,Very uncomfortable,37081,guilford,NC,58,38.1,19.9,1,9.96,11.56,506763,220368,45651,0.4831,21.31548138
I wasn't old enough (or am not a citizen),Somewhat interested,Liberal,Liberal,Most people can be trusted,Yes,No,No,No,No,4,4,3,Most of the time,"durham, nc",Mainly a choice,Somewhat comfortable,37063,durham,NC,77.7,18.1,59.6,1,15.1,45.78,288817,135191,52503,0.4774,22.04654896
I wasn't old enough (or am not a citizen),Very interested,Liberal,Liberal,You can't be too careful,Yes,Yes,No,Yes,No,4,4,3,Most of the time,"durham, nc",Mainly a choice,Somewhat comfortable,37063,durham,NC,77.7,18.1,59.6,1,15.1,45.78,288817,135191,52503,0.4774,22.04654896
I wasn't old enough (or am not a citizen),Very interested,Liberal,Liberal,You can't be too careful,Yes,Yes,No,Yes,No,5,5,3,Most of the time,"burke, nc",Mainly a duty,Very comfortable,37023,burke,NC,28.9,67.4,-38.5,0,12.66,25.16,89548,34837,39360,0.4408,21.67795734
Yes,Slightly interested,Moderate,Slightly conservative,You can't be too careful,No,No,No,No,No,5,2,1,Occasionally,"buncombe, nc",Mainly a duty,Very uncomfortable,37021,buncombe,NC,54.3,40.1,14.2,1,9.16,10,247336,106597,45167,0.4641,20.25957579
Yes,Very interested,Liberal,Slightly liberal,You can't be too careful,Yes,Yes,Yes,Yes,No,4,2,1,Most of the time,"bladen, nc",Mainly a choice,Somewhat uncomfortable,37017,bladen,NC,44.4,53.8,-9.4,0,19.62,4.44,34720,12676,30096,0.4833,25.11202272
Yes,Somewhat interested,Moderate,Slightly liberal,You can't be too careful,No,Yes,No,Yes,No,5,4,4,Occasionally,"cook, il",Mainly a duty,Somewhat comfortable,17031,cook,IL,74.3,20.9,53.4,1,19.5,47.44,5236393,2310522,55251,0.5027,32.33745232
Yes,Very interested,Liberal,Extremely liberal,Most people can be trusted,Yes,Yes,No,Yes,Yes,5,5,2,Most of the time,"union, nc",Mainly a duty,Somewhat comfortable,37179,union,NC,32.5,63.1,-30.6,0,23.6,32.84,213422,91583,65903,0.4468,29.5669502
Yes,Very interested,Liberal,Liberal,Most people can be trusted,Yes,Yes,Yes,Yes,Yes,5,5,2,Most of the time,"rabun, ga",Mainly a duty,Very comfortable,13241,rabun,GA,18.1,78.7,-60.6,0,19.2,46.98,16266,5787,35211,0.5049,20.95213409
I wasn't old enough (or am not a citizen),Very interested,Liberal,Liberal,Most people can be trusted,Yes,Yes,Yes,No,Yes,5,5,5,Occasionally,"routt, co",Mainly a choice,Somewhat uncomfortable,8107,routt,CO,54.3,37.4,16.9,1,16.48,14.44,23606,12527,64963,0.4634,17.31739443
I wasn't old enough (or am not a citizen),Somewhat interested,Moderate,Slightly liberal,You can't be too careful,No,Yes,Yes,Yes,No,5,5,3,Occasionally,"franklin, nc",Mainly a duty,Very comfortable,37069,franklin,NC,42.4,53.9,-11.5,0,10.62,6.74,62296,24836,42685,0.4228,30.23494121
Yes,Very interested,Moderate,Slightly liberal,You can't be too careful,No,Yes,No,Yes,No,5,5,3,Occasionally,"moore, nc",Mainly a duty,Somewhat uncomfortable,37125,moore,NC,33.5,62.6,-29.1,0,21.22,27.02,91743,35768,50998,0.4734,24.05711809
